draw,chain,district
864,1,3
864,1,4
864,1,5
866,1,1
866,1,2
866,1,3
866,1,4
866,1,5
867,1,1
867,1,2
867,1,3
867,1,4
867,1,5
868,1,1
868,1,2
868,1,3
868,1,4
868,1,5
869,1,1
869,1,2
869,1,3
869,1,4
869,1,5
870,1,1
870,1,2
870,1,3
870,1,4
870,1,5
871,1,1
871,1,2
871,1,3
871,1,4
871,1,5
882,1,1
882,1,2
882,1,3
882,1,4
882,1,5
884,1,1
884,1,2
884,1,3
884,1,4
884,1,5
895,1,1
895,1,2
895,1,3
895,1,4
895,1,5
906,1,1
906,1,2
906,1,3
906,1,4
906,1,5
909,1,1
909,1,2
909,1,3
909,1,4
909,1,5
916,1,1
916,1,2
916,1,3
916,1,4
916,1,5
919,1,1
919,1,2
919,1,3
919,1,4
919,1,5
926,1,1
926,1,2
926,1,3
926,1,4
926,1,5
928,1,1
928,1,2
928,1,3
928,1,4
928,1,5
929,1,1
929,1,2
929,1,3
929,1,4
929,1,5
935,1,1
935,1,2
935,1,3
935,1,4
935,1,5
936,1,1
936,1,2
936,1,3
936,1,4
936,1,5
938,1,1
938,1,2
938,1,3
938,1,4
938,1,5
944,1,1
944,1,2
944,1,3
944,1,4
944,1,5
947,1,1
947,1,2
947,1,3
947,1,4
947,1,5
951,1,1
951,1,2
951,1,3
951,1,4
951,1,5
953,1,1
953,1,2
953,1,3
953,1,4
953,1,5
955,1,1
955,1,2
955,1,3
955,1,4
955,1,5
957,1,1
957,1,2
957,1,3
957,1,4
957,1,5
960,1,1
960,1,2
960,1,3
960,1,4
960,1,5
965,1,1
965,1,2
965,1,3
965,1,4
965,1,5
969,1,1
969,1,2
969,1,3
969,1,4
969,1,5
970,1,1
970,1,2
970,1,3
970,1,4
970,1,5
974,1,1
974,1,2
974,1,3
974,1,4
974,1,5
980,1,1
980,1,2
980,1,3
980,1,4
980,1,5
982,1,1
982,1,2
982,1,3
982,1,4
982,1,5
987,1,1
987,1,2
987,1,3
987,1,4
987,1,5
993,1,1
993,1,2
993,1,3
993,1,4
993,1,5
1001,1,1
1001,1,2
1001,1,3
1001,1,4
1001,1,5
1005,1,1
1005,1,2
1005,1,3
1005,1,4
1005,1,5
1008,1,1
1008,1,2
1008,1,3
1008,1,4
1008,1,5
1009,1,1
1009,1,2
1009,1,3
1009,1,4
1009,1,5
1011,1,1
1011,1,2
1011,1,3
1011,1,4
1011,1,5
1019,1,1
1019,1,2
1019,1,3
1019,1,4
1019,1,5
1022,1,1
1022,1,2
1022,1,3
1022,1,4
1022,1,5
1023,1,1
1023,1,2
1023,1,3
1023,1,4
1023,1,5
1024,1,1
1024,1,2
1024,1,3
1024,1,4
1024,1,5
1028,1,1
1028,1,2
1028,1,3
1028,1,4
1028,1,5
1031,1,1
1031,1,2
1031,1,3
1031,1,4
1031,1,5
1035,1,1
1035,1,2
1035,1,3
1035,1,4
1035,1,5
1037,1,1
1037,1,2
1037,1,3
1037,1,4
1037,1,5
1044,1,1
1044,1,2
1044,1,3
1044,1,4
1044,1,5
1046,1,1
1046,1,2
1046,1,3
1046,1,4
1046,1,5
1049,1,1
1049,1,2
1049,1,3
1049,1,4
1049,1,5
1050,1,1
1050,1,2
1050,1,3
1050,1,4
1050,1,5
1054,1,1
1054,1,2
1054,1,3
1054,1,4
1054,1,5
1057,1,1
1057,1,2
1057,1,3
1057,1,4
1057,1,5
1059,1,1
1059,1,2
1059,1,3
1059,1,4
1059,1,5
1060,1,1
1060,1,2
1060,1,3
1060,1,4
1060,1,5
1063,1,1
1063,1,2
1063,1,3
1063,1,4
1063,1,5
1082,1,1
1082,1,2
1082,1,3
1082,1,4
1082,1,5
1084,1,1
1084,1,2
1084,1,3
1084,1,4
1084,1,5
1086,1,1
1086,1,2
1086,1,3
1086,1,4
1086,1,5
1090,1,1
1090,1,2
1090,1,3
1090,1,4
1090,1,5
1092,1,1
1092,1,2
1092,1,3
1092,1,4
1092,1,5
1100,1,1
1100,1,2
1100,1,3
1100,1,4
1100,1,5
1101,1,1
1101,1,2
1101,1,3
1101,1,4
1101,1,5
1102,1,1
1102,1,2
1102,1,3
1102,1,4
1102,1,5
1107,1,1
1107,1,2
1107,1,3
1107,1,4
1107,1,5
1109,1,1
1109,1,2
1109,1,3
1109,1,4
1109,1,5
1113,1,1
1113,1,2
1113,1,3
1113,1,4
1113,1,5
1114,1,1
1114,1,2
1114,1,3
1114,1,4
1114,1,5
1116,1,1
1116,1,2
1116,1,3
1116,1,4
1116,1,5
1119,1,1
1119,1,2
1119,1,3
1119,1,4
1119,1,5
1120,1,1
1120,1,2
1120,1,3
1120,1,4
1120,1,5
1121,1,1
1121,1,2
1121,1,3
1121,1,4
1121,1,5
1137,1,1
1137,1,2
1137,1,3
1137,1,4
1137,1,5
1138,1,1
1138,1,2
1138,1,3
1138,1,4
1138,1,5
1139,1,1
1139,1,2
1139,1,3
1139,1,4
1139,1,5
1146,1,1
1146,1,2
1146,1,3
1146,1,4
1146,1,5
1155,1,1
1155,1,2
1155,1,3
1155,1,4
1155,1,5
1158,1,1
1158,1,2
1158,1,3
1158,1,4
1158,1,5
1168,1,1
1168,1,2
1168,1,3
1168,1,4
1168,1,5
1169,1,1
1169,1,2
1169,1,3
1169,1,4
1169,1,5
1170,1,1
1170,1,2
1170,1,3
1170,1,4
1170,1,5
1171,1,1
1171,1,2
1171,1,3
1171,1,4
1171,1,5
1180,1,1
1180,1,2
1180,1,3
1180,1,4
1180,1,5
1182,1,1
1182,1,2
1182,1,3
1182,1,4
1182,1,5
1188,1,1
1188,1,2
1188,1,3
1188,1,4
1188,1,5
1190,1,1
1190,1,2
1190,1,3
1190,1,4
1190,1,5
1193,1,1
1193,1,2
1193,1,3
1193,1,4
1193,1,5
1201,1,1
1201,1,2
1201,1,3
1201,1,4
1201,1,5
1205,1,1
1205,1,2
1205,1,3
1205,1,4
1205,1,5
1206,1,1
1206,1,2
1206,1,3
1206,1,4
1206,1,5
1207,1,1
1207,1,2
1207,1,3
1207,1,4
1207,1,5
1208,1,1
1208,1,2
1208,1,3
1208,1,4
1208,1,5
1217,1,1
1217,1,2
1217,1,3
1217,1,4
1217,1,5
1222,1,1
1222,1,2
1222,1,3
1222,1,4
1222,1,5
1223,1,1
1223,1,2
1223,1,3
1223,1,4
1223,1,5
1224,1,1
1224,1,2
1224,1,3
1224,1,4
1224,1,5
1226,1,1
1226,1,2
1226,1,3
1226,1,4
1226,1,5
1228,1,1
1228,1,2
1228,1,3
1228,1,4
1228,1,5
1234,1,1
1234,1,2
1234,1,3
1234,1,4
1234,1,5
1237,1,1
1237,1,2
1237,1,3
1237,1,4
1237,1,5
1238,1,1
1238,1,2
1238,1,3
1238,1,4
1238,1,5
1239,1,1
1239,1,2
1239,1,3
1239,1,4
1239,1,5
1240,1,1
1240,1,2
1240,1,3
1240,1,4
1240,1,5
1241,1,1
1241,1,2
1241,1,3
1241,1,4
1241,1,5
1245,1,1
1245,1,2
1245,1,3
1245,1,4
1245,1,5
1247,1,1
1247,1,2
1247,1,3
1247,1,4
1247,1,5
1249,1,1
1249,1,2
1249,1,3
1249,1,4
1249,1,5
1253,1,1
1253,1,2
1253,1,3
1253,1,4
1253,1,5
1265,1,1
1265,1,2
1265,1,3
1265,1,4
1265,1,5
1267,1,1
1267,1,2
1267,1,3
1267,1,4
1267,1,5
1275,1,1
1275,1,2
1275,1,3
1275,1,4
1275,1,5
1277,1,1
1277,1,2
1277,1,3
1277,1,4
1277,1,5
1280,1,1
1280,1,2
1280,1,3
1280,1,4
1280,1,5
1281,1,1
1281,1,2
1281,1,3
1281,1,4
1281,1,5
1286,1,1
1286,1,2
1286,1,3
1286,1,4
1286,1,5
1287,1,1
1287,1,2
1287,1,3
1287,1,4
1287,1,5
1289,1,1
1289,1,2
1289,1,3
1289,1,4
1289,1,5
1301,1,1
1301,1,2
1301,1,3
1301,1,4
1301,1,5
1325,1,1
1325,1,2
1325,1,3
1325,1,4
1325,1,5
1331,1,1
1331,1,2
1331,1,3
1331,1,4
1331,1,5
1333,1,1
1333,1,2
1333,1,3
1333,1,4
1333,1,5
1338,1,1
1338,1,2
1338,1,3
1338,1,4
1338,1,5
1339,1,1
1339,1,2
1339,1,3
1339,1,4
1339,1,5
1345,1,1
1345,1,2
1345,1,3
1345,1,4
1345,1,5
1347,1,1
1347,1,2
1347,1,3
1347,1,4
1347,1,5
1350,1,1
1350,1,2
1350,1,3
1350,1,4
1350,1,5
1352,1,1
1352,1,2
1352,1,3
1352,1,4
1352,1,5
1354,1,1
1354,1,2
1354,1,3
1354,1,4
1354,1,5
1357,1,1
1357,1,2
1357,1,3
1357,1,4
1357,1,5
1363,1,1
1363,1,2
1363,1,3
1363,1,4
1363,1,5
1367,1,1
1367,1,2
1367,1,3
1367,1,4
1367,1,5
1372,1,1
1372,1,2
1372,1,3
1372,1,4
1372,1,5
1379,1,1
1379,1,2
1379,1,3
1379,1,4
1379,1,5
1380,1,1
1380,1,2
1380,1,3
1380,1,4
1380,1,5
1381,1,1
1381,1,2
1381,1,3
1381,1,4
1381,1,5
1383,1,1
1383,1,2
1383,1,3
1383,1,4
1383,1,5
1386,1,1
1386,1,2
1386,1,3
1386,1,4
1386,1,5
1387,1,1
1387,1,2
1387,1,3
1387,1,4
1387,1,5
1394,1,1
1394,1,2
1394,1,3
1394,1,4
1394,1,5
1398,1,1
1398,1,2
1398,1,3
1398,1,4
1398,1,5
1403,1,1
1403,1,2
1403,1,3
1403,1,4
1403,1,5
1404,1,1
1404,1,2
1404,1,3
1404,1,4
1404,1,5
1410,1,1
1410,1,2
1410,1,3
1410,1,4
1410,1,5
1415,1,1
1415,1,2
1415,1,3
1415,1,4
1415,1,5
1424,1,1
1424,1,2
1424,1,3
1424,1,4
1424,1,5
1426,1,1
1426,1,2
1426,1,3
1426,1,4
1426,1,5
1428,1,1
1428,1,2
1428,1,3
1428,1,4
1428,1,5
1440,1,1
1440,1,2
1440,1,3
1440,1,4
1440,1,5
1447,1,1
1447,1,2
1447,1,3
1447,1,4
1447,1,5
1451,1,1
1451,1,2
1451,1,3
1451,1,4
1451,1,5
1457,1,1
1457,1,2
1457,1,3
1457,1,4
1457,1,5
1470,1,1
1470,1,2
1470,1,3
1470,1,4
1470,1,5
1471,1,1
1471,1,2
1471,1,3
1471,1,4
1471,1,5
1472,1,1
1472,1,2
1472,1,3
1472,1,4
1472,1,5
1475,1,1
1475,1,2
1475,1,3
1475,1,4
